r_add,num_service,time_avg,time_max,time_min,unav_avg,unav_max,unav_min
0.8,5,0.00766036,0.009012938,0.005590916,1.17277e-05,1.17277e-05,1.17277e-05
0.8,6,0.039072735,0.047751665,0.031631203,1.96082e-05,1.96082e-05,1.96082e-05
0.8,7,0.193457198,0.260960817,0.159973383,2.14561e-05,2.14561e-05,2.14561e-05
0.8,8,0.890593839,0.96258688,0.812548876,1.41385e-05,1.41385e-05,1.41385e-05
0.8,9,4.372766042,4.810878754,4.08206749,1.74971e-05,1.74971e-05,1.74971e-05
0.8,10,22.02337983,24.47008753,20.37330151,2.34553e-05,2.34553e-05,2.34553e-05
0.8,11,110.9695957,123.023973,103.7508078,2.36121e-05,2.36121e-05,2.36121e-05
0.8,12,556.8658817,623.9080873,515.982384,2.42334e-05,2.42334e-05,2.42334e-05
0.8,13,2650.46074,2712.129594,2603.56487,2.32665e-05,2.32665e-05,2.32665e-05
1.0,5,0.007989743,0.016179085,0.005000114,0.001978482,0.001978482,0.001978482
1.0,6,0.032689428,0.035999775,0.030084372,0.002373709,0.002373709,0.002373709
1.0,7,0.156422424,0.174536467,0.139169455,0.002768779,0.002768779,0.002768779
1.0,8,0.764979839,0.863364697,0.706730604,0.003163692,0.003163692,0.003163692
1.0,9,3.879496408,4.309206724,3.639297009,0.00355845,0.00355845,0.00355845
1.0,10,19.43075242,21.85118818,18.10707402,0.00395305,0.00395305,0.00395305
1.0,11,97.72141342,110.5940838,91.32094073,0.004347495,0.004347495,0.004347495
1.0,12,491.7258671,559.6000559,456.6954405,0.004741783,0.004741783,0.004741783
1.0,13,2311.933129,2366.908668,2297.029011,0.005135915,0.005135915,0.005135915
1.2,5,0.008452528,0.016747713,0.006999969,0.001978482,0.001978482,0.001978482
1.2,6,0.033419967,0.038052797,0.020005941,0.002373709,0.002373709,0.002373709
1.2,7,0.167355251,0.18783164,0.148400784,0.002768779,0.002768779,0.002768779
1.2,8,0.839685369,0.91988802,0.789419889,0.003163692,0.003163692,0.003163692
1.2,9,4.230010724,4.660729408,3.982247829,0.00355845,0.00355845,0.00355845
1.2,10,21.26455467,23.34868145,19.88491726,0.00395305,0.00395305,0.00395305
1.2,11,106.394412,118.1140449,99.50754929,0.004347495,0.004347495,0.004347495
1.2,12,537.7993926,600.518472,498.2628982,0.004741783,0.004741783,0.004741783
1.2,13,2551.531817,2597.050475,2503.323783,0.005135915,0.005135915,0.005135915
